oldcode,hsspend_per_cap68_z1,hsspend_per_cap68_z2,pop60,povrate60,hsspend_per_cap68,socspend_per_cap68,othspend_per_cap68,totspend_per_cap68,hsspend_per_cap72_a,hsspend_per_cap72_b,hsspend_per_cap72_c,socspend_per_cap72,othspend_per_cap72,totspend_per_cap72,hs72cpos,hs68pos,state,pct_urban_1960,pct_black_1960,hsspend_per_kid_68,hsspend_per_kid_72
44157,0,0,6971,55.44765,0,230.5616,171.3467,401.9082,0,0,0,477.5744,242.1435,719.7179,0,0,44,0,33.1,0,0
34095,4.881644,4.881644,17523,55.47097,4.881644,362.4047,94.28645,456.6912,6.244659,6.244659,6.244659,347.7354,134.994,488.9741,1,1,34,21,1.3,287.1555,367.3329
43029,2.692859,2.692859,13017,55.49191,2.692859,144.2386,121.2124,265.451,0,0,0,312.4498,268.3496,580.7994,0,1,43,0,1.4,158.4035,0
37035,17.98348,17.98348,8595,55.49306,17.98348,474.7967,241.8882,716.6849,32.40406,32.40406,32.40406,904.8209,481.4994,1418.724,1,1,37,0,3.9,1057.852,1906.121
19043,0,0,19070,55.58424,0,239.1346,107.929,347.0635,0,0,0,450.8703,153.4129,604.2832,0,0,19,17,23.6,0,0
34005,1.907925,1.907925,19478,55.59979,1.907925,131.1982,102.2477,233.4459,0,0,0,345.9864,185.1234,531.1098,0,1,34,0,1,112.2309,0
44011,2.494652,2.494652,17118,55.64332,2.494652,267.7094,255.1876,522.897,4.488061,4.488061,4.488061,528.4922,266.8995,799.8798,1,1,44,55.8,31.3,146.7442,264.0036
49011,0,0,8081,55.71355,0,264.504,158.9527,423.4567,0,0,0,466.8055,289.9833,756.7888,0,0,49,0,0,0,0
25022,0,0,18961,55.7858,0,204.9421,317.2167,522.1588,0,0,0,410.0609,524.114,934.175,0,0,25,43,49.2,0,0
11139,6.162103,6.162103,4758,55.80585,6.162103,214.2278,277.023,491.2508,0,0,0,482.0657,272.368,754.4337,0,1,11,0,0,362.4767,0
19064,0,0,16242,55.82257,0,231.1516,172.754,403.9055,0,0,0,400.9023,215.566,616.4683,0,0,19,43.8,31.2,0,0
18111,1.040603,1.040603,9250,55.84641,1.040603,204.3329,483.5963,687.9293,0,0,0,383.5151,882.6624,1266.177,0,1,18,0,17,61.21196,0
44187,1.117106,1.117106,14350,55.85077,1.117106,272.9591,150.8093,423.7684,1.880058,1.880058,1.880058,538.7508,194.5487,735.1795,1,1,44,24.5,29.3,65.7121,110.5917
11040,0,0,17913,55.86949,0,246.5655,342.629,589.1945,0,0,0,465.8456,422.0208,887.8664,0,0,11,59.7,42.9,0,0
4032,4.601945,4.601945,19822,55.91365,4.601945,268.7585,2251.183,2519.941,5.985565,5.985565,5.985565,500.1945,1073.552,1579.732,1,1,4,31,2.6,270.7027,352.0921
4022,0,0,15697,55.92202,0,254.4593,230.318,484.7773,0,0,0,523.2381,368.6844,891.9225,0,0,4,29,33.9,0,0
47026,12.20626,12.20626,19803,55.95617,12.20626,251.4381,279.852,531.29,0,0,0,561.6744,411.1221,972.7966,0,1,47,0,.7,718.0151,0
43081,0,0,7690,56.13577,0,203.5852,647.2291,850.8143,0,0,0,443.0305,5349.837,5792.868,0,0,43,0,3,0,0
26067,0,0,21724,56.15516,0,270.5893,625.41,895.9993,0,0,0,805.028,781.5973,1586.625,0,0,26,45.2,23.9,0,0
11132,6.546476,6.546476,15819,56.21688,6.546476,207.9362,239.9003,447.8366,7.875219,7.875219,7.875219,394.2876,249.7071,651.8699,1,1,11,17.6,31.8,385.0868,463.2482
